epoch,train_loss,val_loss,val_ssim,val_psnr,val_lpips,lr,epoch_time
0,0.27950149749716124,0.5166853350587189,0.23649558187462388,17.04721080958843,0.0,4e-05,227.7892620563507
1,0.2121824973159366,0.4732125700451434,0.2692687615985051,18.070912569761276,0.0,8e-05,228.9128737449646
2,0.19321455334623655,0.4365976217202842,0.3002688637468964,18.973401761054994,0.0,0.00012,227.09307646751404
3,0.18936195940607123,0.4003151702694595,0.33762704441323876,19.93345103561878,0.0,0.00016,227.38368463516235
4,0.18720059196154276,0.36642774026840924,0.37691395413130524,20.873172789812088,0.0,0.0002,267.5541636943817
5,0.18157731865843138,0.33242252534255384,0.42427048343233764,21.870144021511077,0.0,0.0002,323.925252199173
6,0.18231301506360373,0.3011923623736948,0.4735321247950196,22.820795673131943,0.0,0.00018090169943749476,319.70227789878845
7,0.17713467102083896,0.27390341171994803,0.5210466045420616,23.68913804292679,0.0,0.00013090169943749476,318.16805362701416
8,0.17523915473785664,0.2510286241769791,0.5642869595438242,24.43693703711033,0.0,6.909830056250527e-05,311.91894936561584
9,0.17408602614369656,0.2330008067889139,0.6002132459077985,24.99070303440094,0.0,1.9098300562505266e-05,331.9098207950592
