epoch,train_loss,val_loss,val_ssim,val_psnr,val_lpips,lr,epoch_time
0,0.2791327426003085,0.4468489709310234,0.2915304407477379,18.652185487747193,0.0,4e-05,977.1442399024963
1,0.23217690876788563,0.40717552294954656,0.33523527621291577,19.555839118361472,0.0,8e-05,1003.9333941936493
2,0.20993443843391207,0.36895628017373383,0.3836173645220697,20.447152173519136,0.0,0.00012,998.5286061763763
3,0.1987704563472006,0.33419855451211333,0.43313298691064117,21.33611183166504,0.0,0.00016,1019.0637600421906
4,0.1960408205787341,0.30535876816138624,0.47774261482991276,22.1665412068367,0.0,0.0002,917.2194473743439
5,0.19126739104588827,0.2815965314861387,0.5160091864410787,22.97206379175186,0.0,0.0002,1018.4006454944611
6,0.18751993717418777,0.263907886412926,0.5455935001838952,23.68096593618393,0.0,0.00019510565162951537,986.9341313838959
7,0.18730132861269844,0.24995075743645429,0.5713229203596711,24.226313245296478,0.0,0.00018090169943749476,1008.5338382720947
8,0.1872409658299552,0.23606977143790572,0.5987076447345316,24.65351265668869,0.0,0.00015877852522924732,954.5755195617676
9,0.1848481248650286,0.22431482698302715,0.6223354393616318,24.999722254276275,0.0,0.00013090169943749476,859.1394555568695
10,0.18553056791424752,0.21444349808152766,0.6421158730983734,25.301620483398438,0.0,0.0001,933.9568169116974
11,0.18317213091585371,0.20629688822664322,0.6584398880135268,25.54588543176651,0.0,6.909830056250527e-05,993.4502160549164
12,0.18400235755576028,0.1995921493624337,0.6717649191617966,25.762190556526186,0.0,4.12214747707527e-05,1006.1746668815613
13,0.18358981005019612,0.19409662301186473,0.6826527988072485,25.935065066814424,0.0,1.9098300562505266e-05,996.741405248642
14,0.18197003975510598,0.18971363190794363,0.6913262682966888,26.059435826539993,0.0,4.8943483704846475e-06,946.9903936386108
